gene_name,pval,adj_pval,f_statistic,df1,df2,lfc,gene_name,gene_id
SFTPC,0.444323396010935,0.6259839335178,0.59021184056638,1,91.1340743492221,-1.65251068717312,SFTPC,ENSG00000168484
SFTPB,0.543786902537507,0.708246862627706,0.371347562003237,1,91.1340743492221,-1.20363523066052,SFTPB,ENSG00000168878
SFTPA1,0.361383449635389,0.560022126766457,0.841520967953035,1,91.1340743492221,-1.95839257158581,SFTPA1,ENSG00000122852
SFTPA2,0.444832032507487,0.626347553516597,0.588890676326088,1,91.1340743492221,-1.51420208454543,SFTPA2,ENSG00000185303
FABP4,0.209222630307437,0.422501272834081,1.59933056428447,1,91.1340743492221,-2.19913255934568,FABP4,ENSG00000170323
GPX1,0.81866032327077,0.889210162103495,0.0528684828415487,1,91.1340743492221,0.447704706672178,GPX1,ENSG00000233276
C1QB,0.109199929484213,0.317554920264808,2.61670608239639,1,91.1340743492221,-2.79246876582186,C1QB,ENSG00000173369
C1QA,0.14075290030478,0.351426261776562,2.20794311570567,1,91.1340743492221,-2.46402954680569,C1QA,ENSG00000173372
IGHA1,0.0295652228569401,0.186413763284616,4.88684728109936,1,91.1340743492221,2.86783164954207,IGHA1,ENSG00000211895
SCGB3A2,0.655121245937775,0.781767596584457,0.200822604958628,1,91.1340743492221,-0.754301057510569,SCGB3A2,ENSG00000164265
MARCO,0.288517072804141,0.498572505091763,1.13978792110055,1,91.1340743492221,-1.70284155803683,MARCO,ENSG00000019169
TYROBP,0.307726311247419,0.515551622816367,1.05215470722821,1,91.1340743492221,-1.36016273086032,TYROBP,ENSG00000011600
IGLC2,0.294416712677801,0.503448551090632,1.11208609624568,1,91.1340743492221,1.70049140462887,IGLC2,ENSG00000211677
RPS4Y1,0.683633546570233,0.80032023714614,0.167130801263895,1,91.1340743492221,0.617650532276931,RPS4Y1,ENSG00000129824
C1QC,0.0583949900692459,0.250622274975304,3.67416688878252,1,91.1340743492221,-3.41867017378564,C1QC,ENSG00000159189
IGLC3,0.229628316996783,0.442068669146949,1.46270507501512,1,91.1340743492221,1.89792717184892,IGLC3,ENSG00000211679
CD52,0.33346844369677,0.535247639102,0.945392853441265,1,91.1340743492221,-1.24650614918213,CD52,ENSG00000169442
MS4A7,0.168624335719131,0.381946311832246,1.92559967663772,1,91.1340743492221,-2.09605529570781,MS4A7,ENSG00000166927
IGHG1,0.0521492104818001,0.238969029086465,3.87163005060787,1,91.1340743492221,2.82478237681391,IGHG1,ENSG00000211896
MGP,0.0114190884321415,0.113477139625206,6.66644818654134,1,91.1340743492221,2.88696374087907,MGP,ENSG00000111341
MCEMP1,0.289588450743102,0.499197120369884,1.13470322392284,1,91.1340743492221,-1.59185069234579,MCEMP1,ENSG00000183019
