gene_name,pval,adj_pval,f_statistic,df1,df2,lfc,gene_name,gene_id
FABP4,0.974085008751312,0.983601441468275,0.0010606408881662,1,99.0946663723596,-0.0326982129235476,FABP4,ENSG00000170323
C1QB,0.747672615950464,0.857422724713835,0.104075234825252,1,99.0946663723596,0.290580669451714,C1QB,ENSG00000173369
C1QA,0.722315014831293,0.843234899406132,0.127005420918071,1,99.0946663723596,-0.345967190669943,C1QA,ENSG00000173372
GPX1,0.0006840218988269,0.0068676897472588,12.294912094238,1,99.0946663723596,-144269492.843186,GPX1,ENSG00000233276
SERPINB3,0.13195706304049,0.299192355013391,2.30723547931326,1,99.0946663723596,-2.09465294742939,SERPINB3,ENSG00000057149
MARCO,0.843891319723849,0.916677491153592,0.038980699187617,1,99.0946663723596,-0.191228740590998,MARCO,ENSG00000019169
TYROBP,0.649398732781908,0.796026884998662,0.207922011099138,1,99.0946663723596,0.373494477531491,TYROBP,ENSG00000011600
CD52,0.669202671627606,0.809390418202884,0.183629314059299,1,99.0946663723596,-0.373084998929877,CD52,ENSG00000169442
C1QC,0.13971061450117,0.310606079371209,2.21658313934678,1,99.0946663723596,1.20515461016849,C1QC,ENSG00000159189
MRC1,0.720105552323089,0.842031749676204,0.129125027508569,1,99.0946663723596,-0.344043181354516,MRC1,ENSG00000260314
RPS4Y1,0.788336696981251,0.88656848513411,0.0724677973701448,1,99.0946663723596,-0.315047060564007,RPS4Y1,ENSG00000129824
APOE,0.109859863688582,0.263452910524178,2.60273177268894,1,99.0946663723596,1.28935724807755,APOE,ENSG00000130203
FCER1G,0.236205435148608,0.436447588966386,1.42026933240468,1,99.0946663723596,0.895294718621494,FCER1G,ENSG00000158869
MS4A7,0.661505547544147,0.804947125266667,0.192856860326718,1,99.0946663723596,-0.390641250199946,MS4A7,ENSG00000166927
MCEMP1,0.506965107688327,0.693143434083029,0.443542259172625,1,99.0946663723596,-0.616142242504451,MCEMP1,ENSG00000183019
ALOX5AP,0.811589568546438,0.900064654129336,0.0571269400039499,1,99.0946663723596,-0.195336540043539,ALOX5AP,ENSG00000132965
MSR1,0.254890135475337,0.456628691285089,1.31145242097605,1,99.0946663723596,-1.14424348364723,MSR1,ENSG00000038945
VSIG4,0.831939040014007,0.911214720716328,0.0452734848875849,1,99.0946663723596,-0.196409587659779,VSIG4,ENSG00000155659
KRT17,0.983974199667936,0.990511576069998,0.0004055177806221,1,99.0946663723596,0.0236922151068188,KRT17,ENSG00000128422
APOC1,0.191191469721366,0.382995732614916,1.73200379984503,1,99.0946663723596,0.978129522342363,APOC1,ENSG00000130208
OLR1,0.156692709714408,0.33653932498799,2.03663249699353,1,99.0946663723596,-1.39634980182077,OLR1,ENSG00000173391
SERPINB4,0.0102604117446753,0.0508016461033948,6.84854624901224,1,99.0946663723596,-5.91409865575141,SERPINB4,ENSG00000206073
AIF1,0.771170808595859,0.874781170326269,0.0850544340565244,1,99.0946663723596,-0.230546286053726,AIF1,ENSG00000204472
SFTPC,0.0003448045885552,0.0039907938490188,13.7475912228017,1,99.0946663723596,-9.01392403529527,SFTPC,ENSG00000168484
RETN,0.0872156916550484,0.225247137538865,2.98382829242114,1,99.0946663723596,-1.83764584577888,RETN,ENSG00000104918
FCGR3A,0.511667440239619,0.696031564929944,0.433779844446418,1,99.0946663723596,-0.58576299412986,FCGR3A,ENSG00000203747
KRT13,3.16720000764756e-07,1.27709677727724e-05,30.0868994861116,1,99.0946663723596,5.74489275145076,KRT13,ENSG00000171401
LCN2,0.0188461615550209,0.0789864273052007,5.70149179421908,1,99.0946663723596,1.78633951108782,LCN2,ENSG00000148346
LYPD2,0.0009553515664819,0.0089957774621648,11.5967153554896,1,99.0946663723596,3.35049874681822,LYPD2,ENSG00000197353
MT-CO1,0.326808881979101,0.532053059465989,0.971088340181909,1,99.0946663723596,0.539715577944782,MT-CO1,ENSG00000198804
MSMB,0.132528676149104,0.299567531982603,2.30034840292074,1,99.0946663723596,1.34054097567191,MSMB,ENSG00000263639
CYBB,0.777057399183689,0.877832579285686,0.080615523924958,1,99.0946663723596,0.228307364923898,CYBB,ENSG00000165168
SPRR3,1.15187714363538e-06,3.81416272726945e-05,26.8672760277154,1,99.0946663723596,6.13886063346991,SPRR3,ENSG00000163209
FN1,0.390960959082129,0.597069271658719,0.742438971002916,1,99.0946663723596,-0.809114181682561,FN1,ENSG00000115414
SRGN,0.73628882266009,0.849629382252585,0.114054568414139,1,99.0946663723596,-0.254852037187447,SRGN,ENSG00000122862
MNDA,0.189413652299871,0.380196010236594,1.74607576687388,1,99.0946663723596,-1.15653481460776,MNDA,ENSG00000163563
MT-CO2,0.560008962015828,0.732716815769257,0.341995263613403,1,99.0946663723596,-0.352059384073218,MT-CO2,ENSG00000198712
KRT5,0.0287852767154379,0.106939761342212,4.92286741427946,1,99.0946663723596,-3.96483948727947,KRT5,ENSG00000186081
MS4A4A,0.771741370443719,0.874791850423622,0.0846185417420078,1,99.0946663723596,0.238073501877728,MS4A4A,ENSG00000110079
LST1,0.375137419568963,0.581067874177451,0.793714124292104,1,99.0946663723596,-0.719642717973833,LST1,ENSG00000204482
PTPRC,0.457618573785625,0.654757438671828,0.556056833503332,1,99.0946663723596,-0.598064237011955,PTPRC,ENSG00000081237
CCL4,0.508136426421747,0.693985832315962,0.441095846845011,1,99.0946663723596,0.573514048274862,CCL4,ENSG00000275302
MT-CO3,0.177104383503334,0.364940227475764,1.84797670875689,1,99.0946663723596,-0.827767264722403,MT-CO3,ENSG00000198938
XIST,0.367396158009379,0.572803489256905,0.819932893449469,1,99.0946663723596,-1.1318628945142,XIST,ENSG00000229807
INHBA,0.0237491085787381,0.0930607702928609,5.27417829188515,1,99.0946663723596,-2.31669021339932,INHBA,ENSG00000122641
MS4A6A,0.729979784623118,0.845844425510675,0.119805098953982,1,99.0946663723596,-0.284426783405123,MS4A6A,ENSG00000110077
CD53,0.989422648411109,0.992682474649838,0.0001766407340937,1,99.0946663723596,-0.0098299186772802,CD53,ENSG00000143119
RBP4,0.367588831573882,0.572845245332941,0.819270920708648,1,99.0946663723596,0.767179761313614,RBP4,ENSG00000138207
LPL,0.0497624196063996,0.155313419495629,3.94537062170285,1,99.0946663723596,-2.04172134064832,LPL,ENSG00000175445
MALAT1,0.610997374514288,0.77010004350175,0.260375020952849,1,99.0946663723596,-0.306431797272527,MALAT1,ENSG00000251562
MT-ATP6,0.0284175651332296,0.106194211970327,4.94623233743149,1,99.0946663723596,-1.42898605869946,MT-ATP6,ENSG00000198899
CD163,0.416353474787433,0.618653008599455,0.666153727588252,1,99.0946663723596,0.608537747281255,CD163,ENSG00000177575
S100A2,0.0078930859207246,0.0421639205166912,7.35308053195698,1,99.0946663723596,-3.5082428272616,S100A2,ENSG00000196754
MT-CYB,0.791578048857579,0.887817461706571,0.0702124860056272,1,99.0946663723596,0.146092298120359,MT-CYB,ENSG00000198727
